"","occurrenceID","individualCount","sex","organismID","eventDate","year","month","day","waterBody","countryCode","decimalLatitude","decimalLongitude","scientificName"
"417",1201,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.1406,168.052,"Carcharodon carcharias (Linnaeus, 1758)"
"418",910,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2537,-175.831,"Carcharodon carcharias (Linnaeus, 1758)"
"419",518,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-46.0087,166.895,"Carcharodon carcharias (Linnaeus, 1758)"
"420",1058,1,"MALE","Shark 78472",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.8013,166.938,"Carcharodon carcharias (Linnaeus, 1758)"
"421",567,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.7082,167.063,"Carcharodon carcharias (Linnaeus, 1758)"
"422",468,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-41.2882,-176.321,"Carcharodon carcharias (Linnaeus, 1758)"
"423",169,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.2918,-176.699,"Carcharodon carcharias (Linnaeus, 1758)"
"424",810,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.7871,-176.091,"Carcharodon carcharias (Linnaeus, 1758)"
"425",418,1,"FEMALE","Shark 64032",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.9423,-176.374,"Carcharodon carcharias (Linnaeus, 1758)"
"426",216,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.7847,-175.439,"Carcharodon carcharias (Linnaeus, 1758)"
"427",1005,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.2421,167.282,"Carcharodon carcharias (Linnaeus, 1758)"
"428",860,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.1074,-177.476,"Carcharodon carcharias (Linnaeus, 1758)"
"429",1188,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.2721,168.36,"Carcharodon carcharias (Linnaeus, 1758)"
"430",67,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-41.9383,-172.912,"Carcharodon carcharias (Linnaeus, 1758)"
"431",117,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.0076,-176.215,"Carcharodon carcharias (Linnaeus, 1758)"
"432",517,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.9945,167.037,"Carcharodon carcharias (Linnaeus, 1758)"
"433",31,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.1141,-176.378,"Carcharodon carcharias (Linnaeus, 1758)"
"434",909,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2368,-176.065,"Carcharodon carcharias (Linnaeus, 1758)"
"435",1057,1,"MALE","Shark 78472",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.8325,168.228,"Carcharodon carcharias (Linnaeus, 1758)"
"436",168,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.1892,-176.143,"Carcharodon carcharias (Linnaeus, 1758)"
"437",467,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.1005,-176.539,"Carcharodon carcharias (Linnaeus, 1758)"
"438",215,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3297,-175.89,"Carcharodon carcharias (Linnaeus, 1758)"
"439",1004,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.4877,167.814,"Carcharodon carcharias (Linnaeus, 1758)"
"440",566,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.7236,167.16,"Carcharodon carcharias (Linnaeus, 1758)"
"441",809,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2888,-176.394,"Carcharodon carcharias (Linnaeus, 1758)"
"442",417,1,"FEMALE","Shark 64031",2009,2009,NA,NA,"Pacific Ocean","NZ",-44.143,-176.144,"Carcharodon carcharias (Linnaeus, 1758)"
"443",859,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.3113,-177.303,"Carcharodon carcharias (Linnaeus, 1758)"
"444",66,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-42.4084,-173.205,"Carcharodon carcharias (Linnaeus, 1758)"
"445",1187,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.2948,167.231,"Carcharodon carcharias (Linnaeus, 1758)"
"446",116,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.8424,-176.957,"Carcharodon carcharias (Linnaeus, 1758)"
"447",516,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.817,166.941,"Carcharodon carcharias (Linnaeus, 1758)"
"448",30,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.0736,-176.865,"Carcharodon carcharias (Linnaeus, 1758)"
"449",908,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.3172,-175.979,"Carcharodon carcharias (Linnaeus, 1758)"
"450",167,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.1105,-176.722,"Carcharodon carcharias (Linnaeus, 1758)"
"451",466,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.8201,-176.307,"Carcharodon carcharias (Linnaeus, 1758)"
"452",1003,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.4955,168.047,"Carcharodon carcharias (Linnaeus, 1758)"
"453",858,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.5415,-176.479,"Carcharodon carcharias (Linnaeus, 1758)"
"454",214,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.9272,-176.577,"Carcharodon carcharias (Linnaeus, 1758)"
"455",565,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.7913,167.288,"Carcharodon carcharias (Linnaeus, 1758)"
"456",1186,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.9647,168.035,"Carcharodon carcharias (Linnaeus, 1758)"
"457",808,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.3534,-176.099,"Carcharodon carcharias (Linnaeus, 1758)"
"458",65,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3437,-175.75,"Carcharodon carcharias (Linnaeus, 1758)"
"459",115,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.9758,-176.156,"Carcharodon carcharias (Linnaeus, 1758)"
"460",515,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.37,168.2,"Carcharodon carcharias (Linnaeus, 1758)"
